trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.5, 'e': 0.7109495026250039}",20,6,-76.65942163156659,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.7047456979980911}",25,0,-160.73812918108308,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
122,False,"{'a': 0.5, 'e': 0.6984652160025387}",20,0,-111.87806138894132,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.6921095043017882}",25,0,-128.72876025532503,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.6856801139382539}",20,0,-54.29874360765218,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.679178699175393}",25,0,-133.49669423390893,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.6726070170677604}",30,0,-145.34343491605432,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
127,False,"{'a': 0.5, 'e': 0.6659669267518202}",20,10,-75.6823806585644,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
128,False,"{'a': 0.5, 'e': 0.6592603884513855}",20,0,-109.35888174580393,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.6524894621927444}",20,0,-69.70894414695475,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.6456563062257954}",35,17,-15.121430897843759,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.6387631751488418}",20,0,-74.06739550008353,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.6318124177361016}",20,6,21.538373381799346,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.6248064744684293}",30,12,-30.56773428253405,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.617747874769249}",30,18,18.85775482163799,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.610639233949222}",25,5,4.426364041219349,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
